lang,layer,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de/devtest,0.21008403361344538,0.1461224489795918,0.32,0.19047619047619047,0.2068284962329531
en,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de/dev,0.25032566217976554,0.17553191489361705,0.36,0.21951219512195122,0.26791299141995617
en,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.31076923076923074,0.20666666666666664,0.08,0.041666666666666664,0.011339822529667446
en,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.3962148962148962,0.3276353276353277,0.08,0.041666666666666664,0.011372524917229515
en,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/devtest,0.5555555555555555,0.42153846153846153,0.08,0.041666666666666664,0.011408714243104346
en,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.31076923076923074,0.20666666666666664,0.08,0.041666666666666664,0.011339822529667446
en,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de-scratch/devtest,0.6952579967566744,0.5320686540198736,0.7,0.5384615384615384,0.632895651207105
en,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de/devtest,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
en,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de/dev,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
en,layer_0,sae_lape/flores_plus-en-de-scratch/devtest,sae_lape/flores_plus-en-de/devtest,0.905022131426626,0.7492339121552606,0.86,0.7543859649122807,0.8578914662827362
